term,code
respiratory tract infections,C01.748
respiratory tract neoplasms,C04.588.894.797
restless legs syndrome,C10.803
retinal degeneration,C11.270.612
retinal detachment,C11.768.648
retinal diseases,C11.768
retinal hemorrhage,C11.290.807
retinal perforations,C11.768.740
retinal vein occlusion,C11.768.760
retinitis,C11.768.773
retinitis pigmentosa,C11.270.684
retinoblastoma,C04.557.465.625.600.725
retinopathy of prematurity,C11.768.836
retrocochlear diseases,C09.218.807
retrograde degeneration,C23.550.737.500
retroperitoneal fibrosis,C23.550.355.700
retroperitoneal neoplasms,C04.588.033.731
retropneumoperitoneum,C23.550.794
retroviridae infections,C01.925.782.815
reye syndrome,C06.552.241.649
rhabdomyolysis,C05.651.807
rhabdomyoma,C04.557.450.590.540.700
rhabdomyosarcoma,C04.557.450.590.550.660
rheumatic fever,C01.150.252.410.890.731
rheumatic heart disease,C01.150.252.410.890.731.649
rheumatic nodule,C05.550.114.843.566
rheumatic diseases,C05.799
rheumatoid nodule,C05.550.114.154.683
rhinitis,C01.748.674
"rhinitis, allergic, perennial",C08.460.799.315.500
"rhinitis, atrophic",C08.460.799.649
"rhinitis, vasomotor",C08.460.799.910
rhinophyma,C17.800.716.500
rhinoscleroma,C01.150.252.400.310.503.500
rhinosporidiosis,C01.610.600.700
rib fractures,C26.404.593
riboflavin deficiency,C18.654.521.500.133.699.713
rickets,C05.116.198.816
rickettsia infections,C01.150.252.400.789.725
rickettsiaceae infections,C01.150.252.400.789
rift valley fever,C01.436.430.812
rigor mortis,C23.550.260.224.617.839
rinderpest,C01.925.782.580.600.500.700
rna virus infections,C01.925.782
rocky mountain spotted fever,C01.150.252.400.789.725.400.500
rodent diseases,C22.795
root resorption,C07.793.901.653
rosacea,C17.800.716
rotavirus infections,C01.925.782.791.814
rubella,C01.925.782.930.700.700
"rubella syndrome, congenital",C01.925.782.930.700.700.700
rubinstein-taybi syndrome,C05.116.099.370.797
rupture,C26.761
"rupture, spontaneous",C23.300.909
salivary duct calculi,C07.465.815.497.325
salivary gland diseases,C07.465.815
salivary gland fistula,C07.465.614.655
salivary gland neoplasms,C04.588.443.591.824
salmonella food poisoning,C01.150.252.400.310.821.606
salmonella infections,C01.150.252.400.310.821
"salmonella infections, animal",C01.150.252.400.310.821.706
salpingitis,C12.050.351.500.056.390.890
sandhoff disease,C10.228.140.163.100.435.825.300.300.249
sarcoidosis,C15.604.515.827
sarcoma,C04.557.450.795
sarcoma 180,C04.557.450.795.830.780
sarcoma 37,C04.557.450.795.830.760
"sarcoma, ewing",C04.557.450.565.575.650.800
"sarcoma, experimental",C04.557.450.795.830
"sarcoma, kaposi",C01.925.256.466.860
mast-cell sarcoma,C04.557.450.565.465.124
osteosarcoma,C04.557.450.565.575.650
"sarcoma, yoshida",C04.557.450.795.830.850
sarcocystosis,C01.610.752.250.634
scabies,C01.610.858.211.480.708
scalp dermatoses,C17.800.738
scarlet fever,C01.150.252.410.890.823
scheuermann disease,C05.116.821.500.500
schistosomiasis,C01.610.335.865.859
schistosomiasis haematobia,C01.610.335.865.859.427
schistosomiasis japonica,C01.610.335.865.859.521
schistosomiasis mansoni,C01.610.335.865.859.576
sciatica,C10.668.829.500.675.800
scimitar syndrome,C08.381.844
scleredema adultorum,C17.300.550.750
sclerema neonatorum,C16.131.831.812
"scleroderma, localized",C17.300.787
"scleroderma, systemic",C17.300.799
sclerosis,C23.550.823
scoliosis,C05.116.900.800.875
scotoma,C10.597.751.941.811
scrapie,C01.207.800.717
screw worm infection,C01.610.858.211.503.744
scrub typhus,C01.150.252.400.789.850
scurvy,C14.907.454.800
sea-blue histiocyte syndrome,C10.228.140.163.100.435.825.775
sebaceous gland diseases,C17.800.794
sebaceous gland neoplasms,C04.588.805.578
"dermatitis, seborrheic",C17.800.174.580
seizures,C10.597.742
self mutilation,C26.780
sensation disorders,C10.597.751
serositis,C23.550.470.646
sertoli cell tumor,C04.557.475.750.847.500
serum sickness,C17.800.174.600.800
setariasis,C01.610.335.349.820
sex chromosome aberrations,C23.550.210.815
disorders of sex development,C12.050.351.875.253
"sexual dysfunction, physiological",C12.100.875
sexually transmitted diseases,C01.221.812
sezary syndrome,C04.557.386.480.750.800.775
sheep diseases,C22.836
"pasteurellosis, pneumonic",C01.150.252.400.700.675
shock,C23.550.835
"shock, cardiogenic",C14.280.647.500.750
"shock, hemorrhagic",C23.550.414.980
"shock, septic",C01.757.800
"shock, surgical",C23.550.767.879
"shock, traumatic",C23.550.835.888
short bowel syndrome,C06.405.469.637.832
short rib-polydactyly syndrome,C05.116.099.708.857
shoulder dislocation,C05.550.518.750
shoulder fractures,C26.404.625
shwartzman phenomenon,C14.907.454.810
shy-drager syndrome,C10.177.575.550.750
sialadenitis,C07.465.815.793
"sialometaplasia, necrotizing",C07.465.815.802
sialorrhea,C07.465.815.815
sick sinus syndrome,C14.280.067.093.249
sickle cell trait,C15.378.071.141.150.150.670
siderosis,C08.381.483.581.750
sigmoid diseases,C06.405.469.158.850
sigmoid neoplasms,C04.588.274.476.411.307.180.800
signs and symptoms,C23.888
"signs and symptoms, digestive",C23.888.821
"signs and symptoms, respiratory",C23.888.852
silicosis,C08.381.483.581.760
silicotuberculosis,C01.150.252.410.040.552.846.899.669
silo filler's disease,C08.381.483.125.682
sinoatrial block,C14.280.067.558.750
"sinus thrombosis, intracranial",C10.228.140.300.525.425.500
sinusitis,C01.748.749
situs inversus,C16.131.810
sjogren's syndrome,C05.550.114.154.774
skin abnormalities,C16.131.831
skin diseases,C17.800
"skin diseases, vesiculobullous",C17.800.865
"skin diseases, genetic",C16.320.850
"skin diseases, infectious",C01.800
"skin diseases, metabolic",C17.800.849
"skin diseases, parasitic",C01.610.858
skin manifestations,C23.888.885
skin neoplasms,C04.588.805
skin ulcer,C17.800.893
skull fractures,C10.900.300.918
skull neoplasms,C04.588.149.721
sleep apnea syndromes,C08.618.085.852
sleep deprivation,C10.886.425.175
sleep wake disorders,C10.886
slow virus diseases,C01.925.839
smallpox,C01.925.256.743.826
snake bites,C25.723.127.442
sneezing,C23.888.852.889
snoring,C23.888.852.779.850
soft tissue neoplasms,C04.588.839
somatostatinoma,C04.557.465.625.650.240.695
somnambulism,C10.886.659.635.700
sparganosis,C01.610.335.190.304.780
spasm,C10.597.613.750
"spasms, infantile",C10.228.140.490.375.760
speech disorders,C10.597.606.150.500.800
spermatic cord torsion,C12.100.500.693
spermatocele,C12.100.500.731
"spherocytosis, hereditary",C15.378.071.141.150.785
sphingolipidoses,C10.228.140.163.100.435.825
spinal cord compression,C10.228.854.761
spinal cord diseases,C10.228.854
spinal cord injuries,C10.228.854.763
spinal cord neoplasms,C04.588.614.250.803
spinal curvatures,C05.116.900.800
spinal diseases,C05.116.900
spinal injuries,C26.117.500
spinal neoplasms,C04.588.149.828
spinal osteophytosis,C05.116.900.815
spinal stenosis,C05.116.900.825
spinocerebellar degenerations,C10.228.140.252.700
spirochaetales infections,C01.150.252.400.794
splenic diseases,C15.604.744
splenic infarction,C14.907.795
splenic neoplasms,C04.588.842
splenic rupture,C15.604.744.742
splenomegaly,C23.300.775.750
spondylitis,C01.160.762
"spondylitis, ankylosing",C05.116.900.853.625.800.744.500
spondylolisthesis,C05.116.900.938.500.500
spondylolysis,C05.116.900.938.500
sporotrichosis,C01.150.703.302.675
sprains and strains,C26.844
"sprue, tropical",C06.405.469.637.850
staphylococcal food poisoning,C01.150.252.410.868.806
staphylococcal infections,C01.150.252.410.868
staphylococcal scalded skin syndrome,C01.150.252.410.868.951.770
staphylococcal skin infections,C01.150.252.410.868.951
starvation,C18.654.521.750
status asthmaticus,C08.127.108.880
status epilepticus,C10.597.742.785
steatitis,C18.654.521.500.133.841.682
stevens-johnson syndrome,C07.465.864.500
gastric dilatation,C06.405.748.300
stomach diseases,C06.405.748
"diverticulum, stomach",C06.405.205.282.750.687
stomach neoplasms,C04.588.274.476.767
stomach rupture,C06.405.748.824
stomach ulcer,C06.405.469.275.800.849
stomach volvulus,C06.405.748.895
stomatitis,C07.465.864
"stomatitis, aphthous",C07.465.864.750
"stomatitis, denture",C07.465.864.875
"stomatitis, herpetic",C01.925.256.466.382.834
strabismus,C10.292.562.887
streptococcal infections,C01.150.252.410.890
"strongyle infections, equine",C01.610.335.349.840
strongyloidiasis,C01.610.335.508.700.700.799
struma ovarii,C04.557.465.910.850
sturge-weber syndrome,C04.557.645.375.850
stuttering,C10.597.606.150.500.800.750
subacute sclerosing panencephalitis,C01.207.245.340.600
subarachnoid hemorrhage,C10.228.140.300.535.800
subclavian steal syndrome,C10.228.140.300.150.956.700
subcutaneous emphysema,C23.550.325.500
subdural effusion,C01.207.709.675
"empyema, subdural",C01.207.709.300
sublingual gland neoplasms,C04.588.443.591.824.882
submandibular gland diseases,C07.465.815.882
submandibular gland neoplasms,C04.588.443.591.824.885
subphrenic abscess,C01.463.600.500
substance withdrawal syndrome,C25.775.835
sudden infant death,C23.550.260.322.625
sulfhemoglobinemia,C15.378.896
sunburn,C17.800.600.725
sunstroke,C26.522.500.500
superior mesenteric artery syndrome,C06.405.469.275.395.890
superior vena cava syndrome,C14.907.800
suppuration,C01.830
"supranuclear palsy, progressive",C10.228.140.079.882
surgical wound dehiscence,C23.550.767.887
surgical wound infection,C01.947.692
swayback,C18.654.521.500.857
sweat gland diseases,C17.800.946
sweat gland neoplasms,C04.588.805.776
"sweating, gustatory",C10.177.825
swine diseases,C22.905
swine erysipelas,C01.150.252.410.334.776
swine vesicular disease,C01.925.782.687.359.855
"pathological conditions, signs and symptoms",C23
syncope,C10.597.606.358.800.600
syndactyly,C05.116.099.370.894.819
syndrome,C23.550.288.500
synostosis,C05.116.099.370.894
synovial cyst,C04.182.867
"sarcoma, synovial",C04.557.450.565.835
synovitis,C05.550.870
"synovitis, pigmented villonodular",C04.557.450.565.380.690.500
syphilis,C01.150.252.400.794.840.500
"syphilis, cardiovascular",C01.150.252.400.794.840.500.875
"syphilis, congenital",C01.150.252.400.794.840.500.937
"syphilis, cutaneous",C01.150.252.400.794.840.500.968
"syphilis, latent",C01.150.252.400.794.840.500.984
syringomyelia,C10.228.854.833
tabes dorsalis,C01.150.252.223.600.800
tachycardia,C14.280.067.845
"tachycardia, atrioventricular nodal reentry",C14.280.067.845.787.249
"tachycardia, ectopic atrial",C14.280.067.845.880.315
"tachycardia, ectopic junctional",C14.280.067.845.880.320
"tachycardia, paroxysmal",C14.280.067.845.695
"tachycardia, sinoatrial nodal reentry",C14.280.067.845.787.500
"tachycardia, sinus",C14.280.067.845.880.845
"tachycardia, supraventricular",C14.280.067.845.880
taeniasis,C01.610.335.190.902
takayasu arteritis,C14.907.109.239.650
tangier disease,C10.668.829.800.875
tarsal tunnel syndrome,C10.668.829.500.700.800
taste disorders,C10.597.751.861
tay-sachs disease,C10.228.140.163.100.435.825.300.300.500
"telangiectasia, hereditary hemorrhagic",C14.907.454.900
telangiectasis,C14.907.823
giant cell arteritis,C10.114.875.700
temporomandibular joint disorders,C05.500.607.221.897
temporomandibular joint dysfunction syndrome,C05.500.607.221.897.897
tendon injuries,C26.874
tennis elbow,C05.651.869.435.500
tenosynovitis,C05.651.869.870
teratoma,C04.557.465.910
testicular diseases,C12.100.500.829
androgen-insensitivity syndrome,C12.050.351.875.253.096.500
testicular neoplasms,C04.588.322.762
tetanus,C01.150.252.410.222.864
tetany,C10.597.613.875
tetralogy of fallot,C14.240.400.849
thalamic diseases,C10.228.140.915
thalassemia,C15.378.071.141.150.875
thanatophoric dysplasia,C05.116.099.343.110.500
thecoma,C04.557.475.750.875
theileriasis,C01.610.701.688.735
thiamine deficiency,C18.654.521.500.133.699.827
thinness,C23.888.144.828
thoracic diseases,C08.846
thoracic injuries,C26.891
thoracic neoplasms,C04.588.894
thoracic outlet syndrome,C10.668.829.550.850
thrombasthenia,C15.378.100.100.820
thromboangiitis obliterans,C14.907.137.870
"thrombocythemia, essential",C15.378.100.832
thrombocytopenia,C15.378.140.855
thrombocytosis,C15.378.140.860
thromboembolism,C14.907.355.590
thrombophlebitis,C14.907.355.830.925.770
thrombosis,C14.907.355.830
thymoma,C04.557.435.850
thymus hyperplasia,C15.604.816
thymus neoplasms,C04.588.894.949
thyroglossal cyst,C04.182.902
thyroid crisis,C19.874.397.685.905
thyroid diseases,C19.874
thyroid neoplasms,C04.588.322.894
thyroiditis,C19.874.871
"thyroiditis, autoimmune",C19.874.871.102
"thyroiditis, subacute",C19.874.871.900
"thyroiditis, suppurative",C01.830.840
thyrotoxicosis,C19.874.397.685
tibial fractures,C26.404.875
tic disorders,C10.228.662.825
tick infestations,C01.610.858.211.857
tick paralysis,C25.723.127.789.500.707
tick toxicoses,C25.723.127.789.500
tietze's syndrome,C05.182.790
tinea,C01.150.703.302.720
tinea capitis,C01.150.703.302.720.730
tinea favosa,C01.150.703.302.720.730.740
tinea pedis,C01.150.703.302.720.760
onychomycosis,C01.150.703.302.720.550
tinea versicolor,C01.150.703.302.860
tinnitus,C09.218.458.670
tobacco use disorder,C25.775.912
togaviridae infections,C01.925.782.930
tongue diseases,C07.465.910
tongue neoplasms,C04.588.443.591.925
"tongue, fissured",C07.465.910.708
"tongue, hairy",C07.465.910.791
tonsillar neoplasms,C04.588.443.665.710.684.800
tonsillitis,C01.748.561.750
tooth abnormalities,C07.650.800
tooth abrasion,C07.793.818.124
tooth discoloration,C07.793.735
tooth diseases,C07.793
tooth erosion,C07.793.818.500
"tooth eruption, ectopic",C07.793.790
tooth fractures,C07.793.850.750
tooth avulsion,C07.793.850.725
tooth migration,C07.465.714.836
tooth mobility,C07.465.714.898
tooth resorption,C07.793.901
"tooth, impacted",C07.793.905
"tooth, supernumerary",C07.650.800.850
toothache,C07.793.929
torsion abnormality,C23.300.970
torticollis,C23.888.592.350.300.800
toxemia,C01.861
toxocariasis,C01.610.335.349.868
toxoplasmosis,C01.610.752.250.800
"toxoplasmosis, animal",C01.610.701.688.817
"toxoplasmosis, congenital",C01.207.205.300.900
"toxoplasmosis, ocular",C01.610.300.781
tracheal diseases,C08.907
tracheal neoplasms,C04.588.443.925
tracheal stenosis,C08.907.663
tracheitis,C01.748.848
tracheobronchomegaly,C08.127.930
tracheoesophageal fistula,C06.267.250.725
trachoma,C01.150.252.289.225.800
"translocation, genetic",C23.550.210.870
transposition of great vessels,C14.240.400.915
trematode infections,C01.610.335.865
tremor,C10.597.350.850
trench fever,C01.150.252.400.126.100.800
treponemal infections,C01.150.252.400.794.840
trichinellosis,C01.610.335.508.100.275.882
trichomonas infections,C01.610.752.890
trichomonas vaginitis,C01.610.752.890.633
trichostrongyloidiasis,C01.610.335.508.700.775.825
trichostrongylosis,C01.610.335.508.700.775.825.842
trichuriasis,C01.610.335.508.100.275.895
tricuspid valve insufficiency,C14.280.484.856
tricuspid valve prolapse,C14.280.484.400.875
tricuspid valve stenosis,C14.280.484.911
trigeminal neuralgia,C07.465.299.625.500.700
trilogy of fallot,C14.240.400.960
trismus,C10.597.613.750.700
trisomy,C23.550.210.050.750
trombiculiasis,C01.610.858.211.480.869
trophoblastic neoplasms,C04.557.465.955
"truncus arteriosus, persistent",C14.240.400.560.098.500
trypanosomiasis,C01.610.752.300.900
"trypanosomiasis, african",C01.610.752.300.900.719
"trypanosomiasis, bovine",C01.610.701.688.896
chagas disease,C01.610.752.300.900.200
tuberculoma,C01.150.252.410.040.552.846.493
tuberculosis,C01.150.252.410.040.552.846
"tuberculosis, avian",C01.150.252.410.040.552.846.516
"tuberculosis, bovine",C01.150.252.410.040.552.846.538
"tuberculosis, cardiovascular",C01.150.252.410.040.552.846.554
"tuberculosis, cutaneous",C01.150.252.410.040.552.846.588
"tuberculosis, endocrine",C01.150.252.410.040.552.846.606
"tuberculosis, female genital",C01.150.252.410.040.552.846.944.596
"tuberculosis, gastrointestinal",C01.150.252.410.040.552.846.628
"tuberculosis, hepatic",C01.150.252.410.040.552.846.651
"tuberculosis, laryngeal",C01.150.252.410.040.552.846.696
"tuberculosis, lymph node",C01.150.252.410.040.552.846.719
"tuberculosis, male genital",C01.150.252.410.040.552.846.944.721
"tuberculosis, meningeal",C01.150.252.223.500.937
"tuberculosis, miliary",C01.150.252.410.040.552.846.764
"tuberculosis, ocular",C01.150.252.289.800
"tuberculosis, oral",C01.150.252.410.040.552.846.809
"tuberculosis, osteoarticular",C01.150.252.410.040.552.846.843
"peritonitis, tuberculous",C01.150.252.410.040.552.846.308
"tuberculosis, pleural",C01.150.252.410.040.552.846.877
"tuberculosis, pulmonary",C01.150.252.410.040.552.846.899
"tuberculosis, renal",C01.150.252.410.040.552.846.944.847
"tuberculosis, spinal",C01.150.252.410.040.552.846.843.722
"tuberculosis, splenic",C01.150.252.410.040.552.846.922
"tuberculosis, urogenital",C01.150.252.410.040.552.846.944
tuberous sclerosis,C04.445.810
tularemia,C01.150.252.400.900
tumor virus infections,C01.925.928
turner syndrome,C12.050.351.875.253.309.872
"twins, conjoined",C16.131.085.806
typhoid fever,C01.150.252.400.310.821.873
"typhus, endemic flea-borne",C01.150.252.400.789.725.800
"typhus, epidemic louse-borne",C01.150.252.400.789.725.805
ulcer,C23.550.891
ulna fractures,C26.088.268.807
unconsciousness,C10.597.606.358.800
urachal cyst,C04.182.946
uremia,C12.050.351.968.419.936
ureteral calculi,C12.050.351.968.725.938.500
ureteral diseases,C12.050.351.968.725
ureteral neoplasms,C04.588.945.947.940
ureteral obstruction,C12.050.351.968.725.776
ureterocele,C12.050.351.968.725.876
urethral diseases,C12.050.351.968.767
urethral neoplasms,C04.588.945.947.945
urethral obstruction,C12.050.351.968.767.700
urethral stricture,C12.050.351.968.767.700.700
urethritis,C12.050.351.968.767.851
urinary calculi,C12.050.351.968.967.500
urinary fistula,C12.050.351.875.881
urinary incontinence,C12.050.351.968.934.814
"urinary incontinence, stress",C12.050.351.968.934.814.500
urinary tract infections,C01.915
urination disorders,C12.050.351.968.934
urogenital abnormalities,C12.050.351.875
urogenital neoplasms,C04.588.945
urologic diseases,C12.050.351.968
urologic neoplasms,C04.588.945.947
urticaria,C17.800.862.945
urticaria pigmentosa,C04.557.450.565.465.500.850
uterine diseases,C12.050.351.500.852
uterine hemorrhage,C12.050.351.500.852.691
uterine inertia,C12.050.703.420.288.728
uterine neoplasms,C04.588.945.418.948
uterine perforation,C12.050.351.500.852.904.500
uterine prolapse,C12.050.351.500.852.833
uterine rupture,C12.050.351.500.852.904
uveal diseases,C11.941
uveal neoplasms,C04.588.364.978
uveitis,C11.941.879
"uveitis, anterior",C11.941.879.780.880
uveomeningoencephalitic syndrome,C10.114.843
uveoparotid fever,C15.604.515.827.865
vaccinia,C01.925.256.743.929
vaginal diseases,C12.050.351.500.894
vaginal fistula,C12.050.351.500.894.767
vaginal neoplasms,C04.588.945.418.955
vaginitis,C12.050.351.500.894.906
varicocele,C12.100.500.936
varicose ulcer,C14.907.927.730
varicose veins,C14.907.927
vascular diseases,C14.907
vascular headaches,C10.228.140.300.800
vasculitis,C14.907.940
velopharyngeal insufficiency,C07.465.525.955
"venereal tumors, veterinary",C04.588.945.956
venous insufficiency,C14.907.952
ventricular fibrillation,C14.280.067.922
ventricular outflow obstruction,C14.280.955
vertebrobasilar insufficiency,C10.228.140.300.150.956
vertigo,C09.218.568.900.883
vesico-ureteral reflux,C12.050.351.968.829.920
vesicovaginal fistula,C12.050.351.500.894.767.500
vesicular exanthema of swine,C01.925.782.160.927
vibrio infections,C01.150.252.400.959
viremia,C01.925.937
virilism,C23.888.971
virus diseases,C01.925
visceral prolapse,C06.405.937
vision disorders,C10.597.751.941
vitamin a deficiency,C18.654.521.500.133.628
vitamin b deficiency,C18.654.521.500.133.699
vitamin b 12 deficiency,C18.654.521.500.133.699.923
vitamin d deficiency,C18.654.521.500.133.770
vitamin e deficiency,C18.654.521.500.133.841
vitamin k deficiency,C15.378.100.920
vitiligo,C17.800.621.440.895
vitreous hemorrhage,C11.290.960
vocal cord paralysis,C08.360.931
voice disorders,C08.360.940
vomiting,C23.888.821.937
"vomiting, anticipatory",C23.888.821.937.080
von willebrand diseases,C15.378.100.100.900
vulvar diseases,C12.050.351.500.944
vulvar neoplasms,C04.588.945.418.968
vulvitis,C12.050.351.500.944.902
vulvovaginitis,C12.050.351.500.894.906.820
waardenburg syndrome,C16.131.077.938
lateral medullary syndrome,C10.228.140.300.150.477.100.500
wallerian degeneration,C23.550.737.750
warts,C01.925.256.650.810
water intoxication,C18.452.950.932
water-electrolyte imbalance,C18.452.950
waterhouse-friderichsen syndrome,C01.150.252.223.500.750.500
granulomatosis with polyangiitis,C08.381.483.950
weil disease,C01.150.252.400.794.511.739
spinal muscular atrophies of childhood,C10.228.854.468.800
werner syndrome,C16.320.925
wernicke encephalopathy,C10.228.140.163.960
west nile fever,C01.207.245.340.300.887
whiplash injuries,C26.700.500
white muscle disease,C22.595.740
whooping cough,C01.150.252.400.143.500
wiskott-aldrich syndrome,C15.378.100.100.970
wissler's syndrome,C05.550.114.843.823
wolff-parkinson-white syndrome,C14.280.067.780.977
wolfram syndrome,C09.218.458.341.186.500.750
wound infection,C01.947
wounds and injuries,C26
"wounds, gunshot",C26.986.900
"wounds, nonpenetrating",C26.974
"wounds, penetrating",C26.986
"wounds, stab",C26.986.950
wrist injuries,C26.088.906
"xanthogranuloma, juvenile",C15.604.250.410.900
xanthomatosis,C18.452.584.750
xeroderma pigmentosum,C04.834.867
xerophthalmia,C11.187.810
xerostomia,C07.465.815.929
xyy karyotype,C23.550.210.024.500
yaws,C01.150.252.400.794.840.750
yellow fever,C01.920.500.980
yersinia infections,C01.150.252.400.310.980
yersinia pseudotuberculosis infections,C01.150.252.400.310.980.780
zollinger-ellison syndrome,C04.730.713.988
zoonoses,C01.973
zygomatic fractures,C10.900.300.284.500.950
"dementia, vascular",C10.228.140.300.400
esophageal motility disorders,C06.405.117.119.500
"esophageal spasm, diffuse",C06.405.117.119.500.450
hydrops fetalis,C12.050.703.277.060.480
"dementia, multi-infarct",C10.228.140.300.150.477.200.199
superinfection,C01.597.880
lightning injuries,C26.324.550
supratentorial neoplasms,C04.588.614.250.195.885
epidural neoplasms,C04.588.614.250.803.342
prolactinoma,C04.557.470.035.625
colorectal neoplasms,C04.588.274.476.411.307
infratentorial neoplasms,C04.588.614.250.195.411
"osteoarthritis, hip",C05.550.114.606.400
smoke inhalation injury,C26.200.322.800
"cholangitis, sclerosing",C06.130.120.200.110
"arthritis, gouty",C05.550.114.423.410
zellweger syndrome,C06.552.970
inflammatory bowel diseases,C06.405.205.731
cholesterol ester storage disease,C16.320.565.398.641.201
"hyperostosis, sternocostoclavicular",C05.116.540.600
wolman disease,C16.320.565.398.641.201.500
hypertriglyceridemia,C18.452.584.500.500.851
"sexually transmitted diseases, viral",C01.221.812.640
"sexually transmitted diseases, bacterial",C01.150.252.734
"carcinoma, merkel cell",C01.925.256.721.150
churg-strauss syndrome,C14.907.940.897.249.249
mycobacterium avium-intracellulare infection,C01.150.252.410.040.552.475.495
tumor lysis syndrome,C15.604.515.880
discitis,C01.160.762.301
"fructose metabolism, inborn errors",C16.320.565.202.251
"fructose-1,6-diphosphatase deficiency",C16.320.565.202.251.221
"pyruvate metabolism, inborn errors",C16.320.565.202.810
pyruvate carboxylase deficiency disease,C10.228.140.163.100.725
pyruvate dehydrogenase complex deficiency disease,C10.228.140.163.100.750
dry eye syndromes,C11.496.260
"vision, low",C10.597.751.941.905
"glaucoma, neovascular",C11.525.381.348
retinal artery occlusion,C11.768.400
child nutrition disorders,C18.654.180
gastrinoma,C04.557.470.200.025.290.500
hereditary sensory and motor neuropathy,C10.500.300
"optic atrophies, hereditary",C10.292.700.225.500
"spastic paraplegia, hereditary",C10.500.300.820
scleral diseases,C11.790
scleritis,C11.790.500
reperfusion injury,C14.907.725
myocardial reperfusion injury,C14.280.238.615
weight gain,C23.888.144.243.926
weight loss,C23.888.144.243.963
"glomerulonephritis, membranoproliferative",C12.050.351.968.419.570.363.615
"glomerulonephritis, membranous",C12.050.351.968.419.570.363.625
panniculitis,C17.300.710
"panniculitis, lupus erythematosus",C17.300.475.479.400
"panniculitis, peritoneal",C06.844.600
"leprosy, borderline",C01.150.252.410.040.552.475.371.850.249
"leprosy, lepromatous",C01.150.252.410.040.552.475.371.775.500
"leprosy, tuberculoid",C01.150.252.410.040.552.475.371.850.500
"leukemia, b-cell",C04.557.337.428.080
"leukemia, lymphocytic, chronic, b-cell",C04.557.337.428.080.125
precursor b-cell lymphoblastic leukemia-lymphoma,C04.557.337.428.600.600
"leukemia, biphenotypic, acute",C04.557.337.428.100
"leukemia, t-cell",C04.557.337.428.580
"leukemia-lymphoma, adult t-cell",C04.557.337.428.580.100
"leukemia, prolymphocytic, t-cell",C04.557.337.428.565.750
"leukemia, prolymphocytic",C04.557.337.428.565
"leukemia, myelogenous, chronic, bcr-abl positive",C04.557.337.539.250
"leukemia, myeloid, accelerated phase",C04.557.337.539.250.300
"leukemia, myeloid, chronic-phase",C04.557.337.539.250.400
"leukemia, neutrophilic, chronic",C15.378.190.636.380
"leukemia, myeloid, acute",C04.557.337.539.275
"leukemia, basophilic, acute",C04.557.337.539.275.125
"leukemia, eosinophilic, acute",C04.557.337.539.275.300
"leukemia, promyelocytic, acute",C04.557.337.539.275.700
"leukemia, myelomonocytic, chronic",C04.557.337.539.522
"leukemia, myelomonocytic, acute",C04.557.337.539.520
htlv-i infections,C01.925.782.815.200.470
htlv-ii infections,C01.925.782.815.200.480
"paraparesis, tropical spastic",C01.207.618.500
salivary gland calculi,C07.465.815.497.500
"renal tubular transport, inborn errors",C12.050.351.968.419.815
nasal obstruction,C08.460.525
goat diseases,C22.405
rett syndrome,C10.597.606.360.455.937
ethmoid sinusitis,C01.748.749.267
frontal sinusitis,C01.748.749.387
maxillary sinusitis,C01.748.749.578
sphenoid sinusitis,C01.748.749.827
aids dementia complex,C01.221.250.875.049
choledochal cyst,C04.182.198
"arthritis, psoriatic",C05.116.900.853.625.800.424
hyperostosis,C05.116.540
retinal drusen,C11.768.585.585
optic disk drusen,C10.292.700.450
"pregnancy complications, parasitic",C01.610.718
cowpox,C01.925.256.743.175
histiocytosis,C15.604.250
"cystic adenomatoid malformation of lung, congenital",C08.381.150
"histiocytosis, non-langerhans-cell",C15.604.250.410
"histiocytosis, sinus",C15.604.250.410.450
respiratory system abnormalities,C08.695
"histiocytic disorders, malignant",C04.557.227
lambert-eaton myasthenic syndrome,C04.588.614.550.500.225
mycotoxicosis,C25.723.680
hiv infections,C01.221.250.875
"osteoporosis, postmenopausal",C05.116.198.579.610
"fatigue syndrome, chronic",C01.925.330
"mammary neoplasms, animal",C04.588.531
near drowning,C26.304.500
corneal edema,C11.204.267
"granuloma, foreign-body",C23.550.382.437
abdominal pain,C23.888.592.612.054
"granuloma, respiratory tract",C08.280
"fractures, stress",C26.404.437
"keratoderma, palmoplantar, diffuse",C16.320.850.475.440
aniridia,C11.250.060
"eye diseases, hereditary",C11.270
erythema chronicum migrans,C01.150.252.400.536.400
retinal dysplasia,C11.250.666
choroideremia,C11.270.142
gyrate atrophy,C11.270.468
"eye injuries, penetrating",C10.900.300.284.250.270
iris neoplasms,C04.588.364.978.400
"glaucoma, angle-closure",C11.525.381.056
ocular hypotension,C11.540
eye infections,C01.375
"eye infections, bacterial",C01.150.252.289
"substance abuse, intravenous",C25.775.793
"eye infections, fungal",C01.150.703.320
"eye infections, parasitic",C01.610.300
acanthamoeba keratitis,C01.610.300.125
langer-giedion syndrome,C05.116.099.708.582
"onchocerciasis, ocular",C01.610.300.562
"eye infections, viral",C01.375.725
"uveitis, suppurative",C01.150.252.289.900
osteochondroma,C04.557.450.565.575.610
cochlear diseases,C09.218.568.120
ocular motility disorders,C10.228.758
vestibular diseases,C09.218.568.900
"chondromatosis, synovial",C05.550.287
